名称,大类,中类,lng,lat,省份,城市,区域
周冲社区卫生运营服务站,医疗保健,综合医院,114.575762,30.669039,湖北省,武汉市,新洲区
新城医院,医疗保健,综合医院,114.57767,30.706301,湖北省,武汉市,新洲区
仓埠中心卫生室门诊部,医疗保健,综合医院,114.60064,30.831179,湖北省,武汉市,新洲区
仓埠中心卫生室公共卫生服务大楼,医疗保健,综合医院,114.600349,30.833802,湖北省,武汉市,新洲区
仓埠中心卫生室,医疗保健,综合医院,114.600407,30.831172,湖北省,武汉市,新洲区
健民医院,医疗保健,综合医院,114.679232,30.873963,湖北省,武汉市,新洲区
李集街卫生室,医疗保健,综合医院,114.678713,30.873246,湖北省,武汉市,新洲区
李集街卫生室门诊楼,医疗保健,综合医院,114.678435,30.872761,湖北省,武汉市,新洲区
武汉康元医院,医疗保健,综合医院,114.289032,30.793229,湖北省,武汉市,黄陂区
三里镇卫生室,医疗保健,综合医院,114.425055,30.780412,湖北省,武汉市,黄陂区
三里桥卫生室,医疗保健,综合医院,114.424587,30.780839,湖北省,武汉市,黄陂区
前川街火庙社区卫生运营服务站,医疗保健,综合医院,114.401171,30.852213,湖北省,武汉市,黄陂区
鲁台社区卫生中心,医疗保健,综合医院,114.394954,30.864314,湖北省,武汉市,黄陂区
祁家湾街道卫生室,医疗保健,综合医院,114.233686,30.877412,湖北省,武汉市,黄陂区
祁家湾街社区卫生中心,医疗保健,综合医院,114.234102,30.878029,湖北省,武汉市,黄陂区
汪集街荣生社区卫生运营服务站,医疗保健,综合医院,114.708734,30.774638,湖北省,武汉市,新洲区
德顺康医院,医疗保健,综合医院,114.812226,30.825041,湖北省,武汉市,新洲区
武汉慈杭医院,医疗保健,综合医院,114.818763,30.836585,湖北省,武汉市,新洲区
刘集卫生室桥西医疗中心,医疗保健,综合医院,114.785588,30.846968,湖北省,武汉市,新洲区
